"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2021","17.50","17.70","17.80","17.20","16.86K","2.94%"
"03/26/2021","17.00","17.00","17.40","16.90","264.75K","-0.58%"
"03/25/2021","17.10","17.50","17.50","17.00","205.42K","-2.29%"
"03/24/2021","17.50","17.50","18.90","17.00","59.08K","0.00%"
"03/23/2021","17.50","17.00","17.50","16.10","34.47K","1.16%"
"03/22/2021","17.30","17.00","17.40","17.00","35.87K","8.12%"
"03/19/2021","16.00","15.90","16.60","15.80","18.06K","-5.33%"
"03/18/2021","16.90","17.40","17.40","16.90","6.82K","-2.87%"
"03/17/2021","17.40","17.60","17.60","17.40","9.49K","-1.69%"
"03/16/2021","17.70","17.70","17.80","17.60","15.22K","0.57%"
"03/15/2021","17.60","18.50","18.50","17.60","14.15K","0.57%"
"03/12/2021","17.50","19.80","19.80","17.00","32.52K","2.94%"
"03/10/2021","17.00","17.10","18.00","16.40","84.33K","4.08%"
"03/04/2021","16.33","18.13","18.13","16.17","47.02K","-5.77%"
"03/03/2021","17.33","18.63","18.63","17.13","27.80K","-5.28%"
"03/02/2021","18.30","18.67","18.67","17.33","40.27K","-1.96%"
"03/01/2021","18.67","17.67","20.00","17.67","349.19K","5.66%"
"02/25/2021","17.67","16.80","18.00","16.67","60.59K","1.15%"
"02/24/2021","17.47","17.30","17.50","16.33","48.29K","5.43%"
"02/23/2021","16.57","17.80","17.80","16.37","49.97K","-6.93%"
"02/22/2021","17.80","18.17","18.17","16.67","142.13K","-2.91%"
"02/19/2021","18.33","18.60","18.93","18.33","48.88K","-1.26%"
"02/18/2021","18.57","18.93","19.30","18.00","20.96K","1.46%"
"02/17/2021","18.30","19.33","19.33","16.93","59.79K","-0.18%"
"02/16/2021","18.33","19.33","19.33","17.73","69.17K","-5.17%"
"02/15/2021","19.33","20.60","20.60","19.33","84.75K","-3.33%"
"02/12/2021","20.00","19.87","20.60","19.40","176.31K","1.69%"
"02/11/2021","19.67","19.50","20.50","17.70","179.48K","0.85%"
"02/10/2021","19.50","20.60","20.60","18.50","176.38K","-4.10%"
"02/09/2021","20.33","20.83","20.83","19.93","416.19K","-1.93%"
"02/08/2021","20.73","22.00","22.33","20.73","64.55K","-5.76%"
"02/05/2021","22.00","20.83","22.80","20.83","279.86K","5.60%"
"02/03/2021","20.83","21.67","22.83","19.67","186.77K","-2.34%"
"02/02/2021","21.33","23.17","23.17","20.07","255.82K","-4.48%"
"02/01/2021","22.33","23.33","23.33","22.17","91.62K","-3.60%"
"01/29/2021","23.17","24.67","24.67","22.33","184.37K","-6.08%"
"01/27/2021","24.67","25.33","25.67","24.33","190.80K","-3.77%"
"01/26/2021","25.63","26.27","26.27","25.00","542.21K","-1.66%"
"01/25/2021","26.07","26.63","26.63","25.30","333.17K","-1.01%"
"01/22/2021","26.33","28.67","28.67","25.43","1.20M","-4.24%"
"01/21/2021","27.50","23.33","27.50","23.33","4.31M","25.00%"
"01/20/2021","22.00","21.67","22.33","21.33","410.72K","3.13%"
"01/19/2021","21.33","22.33","22.50","20.73","725.41K","-4.76%"
"01/18/2021","22.40","23.33","23.37","22.00","398.00K","-1.90%"
"01/15/2021","22.83","23.00","23.30","22.57","1.21M","-0.58%"
"01/13/2021","22.97","23.33","23.67","21.83","908.14K","-1.29%"
"01/12/2021","23.27","20.63","23.33","20.50","3.05M","14.43%"
